name,n_snp,b,b_se,or,or_se,p,Heterogeneity_q,q_df,q_p,egger_intercept,egger_intercept_se,egger_intercept_p,correct_causal_direction,MR_Egger_p,Weighted_median_p,Simple_mode_p,Weighted_mode_p,MR_presso_p,threshold
C-X-C motif chemokine 11 levels_TO_HNC,6,-0.6860633,0.2091227,0.503554515296688,0.0863931097985717,0.0010356,2.209317,5,0.819489,-0.028292,0.0366127,0.4828014,1,0.2039608,0.003432,0.0848416,0.0935937,0.807,1e-06
CD40L receptor levels_TO_HNC,7,-0.4616604,0.2213684,0.630236331862328,0.113188942869813,0.0370253,4.169857,6,0.6537023,0.0238393,0.063969,0.724669,1,0.3401173,0.1886976,0.3336222,0.3391569,0.704,1e-06
Cystatin D levels_TO_HNC,18,0.1730514,0.060742,1.18892721437233,0.06808453787132,0.0043863,16.88902,17,0.4619094,0.0444231,0.0237926,0.0803205,1,0.6205807,0.1612328,0.1640732,0.0962465,0.4702,1e-06
Eotaxin levels_TO_HNC,8,-0.3931385,0.1909492,0.674935262578579,0.107508315389173,0.0395073,3.452247,7,0.8402572,0.0077332,0.0587534,0.899586,1,0.4458296,0.2028543,0.3088939,0.3033503,0.8616,1e-06
C-C motif chemokine 4 levels_TO_HNC,20,0.1876886,0.0830697,1.20645776590015,0.0924866783746596,0.0238579,19.3203,19,0.4364683,0.0356675,0.0298072,0.2469844,1,0.6026542,0.0574348,0.1228289,0.108319,0.46,5e-06
C-X-C motif chemokine 11 levels_TO_HNC,17,-0.4087734,0.1560597,0.664464782984007,0.0893375640814776,0.00881,13.6161,16,0.6272894,0.0090905,0.0279242,0.7492672,1,0.1217009,0.0717407,0.2783202,0.1331247,0.6556,5e-06
CD40L receptor levels_TO_HNC,14,-0.4680071,0.1739059,0.626249077273323,0.0922881480246598,0.0071206,7.475798,13,0.8759978,-0.0222054,0.0357236,0.545841,1,0.5205367,0.0237878,0.1703498,0.1998239,0.889,5e-06
Cystatin D levels_TO_HNC,33,0.1699816,0.0612199,1.18528304191175,0.0683784855319541,0.0054935,28.60451,32,0.6391698,0.0209571,0.0143123,0.1531877,1,0.3129041,0.1989434,0.351979,0.0489291,0.6616,5e-06
Fibroblast growth factor 23 levels_TO_HNC,8,-0.4345637,0.218318,0.647547130267145,0.115014129449645,0.0465351,5.541587,7,0.5941726,-0.0939082,0.0590911,0.1631139,1,0.4300524,0.4114981,0.1768329,0.471478,0.6272,5e-06
Matrix metalloproteinase-1 levels_TO_HNC,21,0.2344411,0.1136479,1.26420200874452,0.128797032328442,0.0391248,11.54787,20,0.9307597,0.0089393,0.0236894,0.710092,1,0.4160731,0.0975786,0.3580255,0.2465564,0.8202,5e-06
C-X-C motif chemokine 11 levels_TO_HNC,6,-0.6860633,0.2091227,0.503554515296688,0.0863931097985717,0.0010356,2.209317,5,0.819489,-0.028292,0.0366127,0.4828014,1,0.2039608,0.0048103,0.0968773,0.0756503,0.8104,5e-07
CD40L receptor levels_TO_HNC,8,-0.2065431,0.0945114,0.813391203540596,0.0701745396194935,0.0288612,5.262989,7,0.6279037,-0.046267,0.0310275,0.1865129,1,0.7498776,0.1855983,0.2840354,0.1732059,0.4726,5e-07
Fms-related tyrosine kinase 3 ligand levels_TO_HNC,11,-0.2537807,0.1284497,0.775861929912503,0.0881037925690034,0.0481864,8.665316,10,0.5641332,-0.0057937,0.0258644,0.8277564,1,0.2972756,0.1823163,0.5711444,0.3234933,0.5844,5e-07
Interleukin-10 receptor subunit beta levels_TO_HNC,10,-0.2068659,0.1039474,0.81312868323315,0.0764685528419689,0.0465797,12.31457,9,0.1961507,-0.0151352,0.0476809,0.7590464,1,0.4560621,0.0452273,0.9909455,0.1452749,0.403,5e-07
C-X-C motif chemokine 11 levels_TO_HNC,3,-0.6239644,0.2451558,0.535816032378677,0.104300757632985,0.0109223,1.0388719,2,0.594856,-0.0393419,0.0607501,0.6341424,1,0.415651,0.0190874,0.1612045,0.1646655,,5e-08
Cystatin D levels_TO_HNC,18,0.2107773,0.0810768,1.23463737070057,0.0925520193788212,0.0093299,15.39579,17,0.5669966,0.0198118,0.0302239,0.5214598,1,0.4045171,0.0047704,0.823139,0.0145559,0.5498,5e-08
Interleukin-10 receptor subunit beta levels_TO_HNC,3,-0.2655368,0.1052546,0.766794224338956,0.0729277003402597,0.0116423,0.1456893,2,0.9297452,-0.0149412,0.0731155,0.8716735,1,0.5497937,0.017519,0.257526,0.1496837,,5e-08
Tumor necrosis factor receptor superfamily member 9 levels_TO_HNC,2,0.7542088,0.3426167,2.12592882288211,0.53047682562571,0.0277134,1.363728,1,0.2428924,,,,1,,,,,,5e-08
